species,palmitic acid,stearic acid ,Oleic Acid ,Linoleic acid ,alpha-linoleic acid ,arachidic acid ,EPA ,DHA,gamma-linoleic acid,stearidonic acid,nervonic acid
Acrochaetiales,28.5,5.4,nm,nm,nm,nm,nm,nm,nm,nm,nm
Batrachospermales,19.2,2.2055,11.73,2.600333333,1.516666667,1.49,2.458333333,3.826666667,2.818333333,nm,0
Stylonematales,24.5,1.6,13.9,9.8,20.7,nm,7.8,0.4,0,0,nm
Porphyridiales,35.55,1.1,1.35,5.35,3.5,0.2,14.7,0,0.25,0.45,nm
Amphidiniales,26.9,17.5,14.3,0.4,0.2,3.7,8,17.4,nm,0.6,nm
Gymnodiniales,26.7,8.5,6.5,3.7,7.2,nm,0.1,9.5,0,15.6,nm
Prorocentrales,61.9,3.2,3.2,0.7,4.5,1,0.1,2.8,nm,3.3,nm
Peridiniales,13.55945,1.388825,3.10965,0.232625,0.507575,0.128825,0.3752,1.541575,0.0046,1.0204,nm
Thalassiosirales,18.35714286,1.514285714,1.957142857,1.328571429,0.514285714,0.025,10.3,1.642857143,0.328571429,2.228571429,nm
Bacillariales,26.8,2.1,1.9,1.366666667,0.633333333,0.8,5.333333333,0.833333333,0.6,0.633333333,nm
Fragilariales,26.45,2.35,2.45,1.55,1,0,4.95,0.5,0.55,0.95,nm
Naviculales,16.8,1.05,1.9,2.8,1.85,0.1,20.45,0.75,0.35,0.35,nm
Thalassiophysales,19.6,1.7,0.5,3.4,0.6,nm,13.9,0.3,2.7,2.4,nm
Eustigmatales,20.5,1.8,3.6,2.2,0.2,nm,29.7,0,0.7,0.1,nm
Chromulinales,0.8556,0.3692,0.3584,0.3536,0.2306,0,0,0.2238,0.15,0.7363,nm
Chattonellales,44.8,0.5,1.6,1.6,4.1,0,8.4,0.7,0,7.1,nm
Tribonematales,35.8,0.6,0.7,0.4,0.6,0,4.1,0.1,0,0.4,nm
Ectocarpales,22.70349863,2.206590125,17.61885714,6.279,4.35522,1.221869125,11.05414286,0,0.769875625,10.04,0
Laminariales,19.05333333,1.7,14.22857143,7.06,5.333333333,0.492307692,12.99333333,nm,2.75,10.62666667,nm
Ralfsiales,21.9,1.2,16.1,11.8,6.3,0.8,8,nm,0.6,6.4,nm
Tilopteridales,28.627,7.808,22.228,4.616,0,0.865,3.789,0.677,0.662,nm,0
Fucales,21.45625229,1.033968917,22.1129,9.357916667,3.10485175,0.407706632,6.462083333,0,0.402658177,5.9,0
Desmarestiales,15.9,1.1,7.3,9.9,8.9,0.3,11.6,nm,0.6,13.7,nm
Sphacelariales,7.49,10.82,5.06,nm,nm,nm,nm,nm,nm,nm,nm
Dictyotales,18.93156778,1.254240222,14.98666667,4.957,3.768493667,0.47313525,7.2174,0.7315,0.935691833,13.16666667,0
Cryptomonadales,9.906966667,1.029433333,0.952933333,0.550633333,15.51593333,0.0191,6.6155,3.6429,0,19.39396667,nm
Pyrenomonadales,11.52753333,1.5213,5.461425,7.635325,13.95553333,0.04,7.4272125,3.797525,11.52753333,19.227225,nm
Isochrysidales,19.08571429,2.728571429,14.38571429,5.1,5.142857143,0.3,0.6,7.866666667,0.757142857,9.828571429,nm
Pavlovales,21.86666667,2,2.633333333,1.566666667,0.766666667,0.3,13.96666667,5.45,0.866666667,3.7,nm
